id,p,nao_p,classe
0,0.0004379274786558859,0.0001341284772249291,1.0
8,0.0007424340554334866,0.0001467286862656755,1.0
20,0.0004303636352787366,0.10093507505901868,1.0
27,0.0006209148669122337,8.27218253757781e-05,1.0
35,0.00033680320372575945,0.0003033138757896929,1.0
47,0.0004467350200540383,0.00028538149740382643,1.0
62,0.00036001493815035956,0.00015548448832276659,1.0
69,0.00044418389195853385,0.00014357168117906056,1.0
78,0.00046992499778170143,0.00013635235364921005,1.0
88,0.00043508716476731006,0.00019587301858869067,1.0
98,0.00022258741894449368,0.00042470909133817563,1.0
106,0.00043137815880174986,0.10080470307371346,1.0
116,0.000443477620467489,0.10038009346048601,1.0
122,0.0003404069099988242,0.00011757761049771922,1.0
131,0.0004658121805587774,0.10086917371592091,1.0
139,0.000524302237948417,0.00018650785592516495,1.0
147,0.0003244130609639134,0.00024712194288463587,1.0
155,0.00045532522625109546,0.00021595189037861047,1.0
163,0.00045314100936107274,0.00011391190147011584,1.0
170,0.00037967786003187295,0.0001733210870975744,1.0
180,0.00029438701385937796,0.00011547550581324589,1.0
189,0.0005277608522505729,0.0003040902958978297,1.0
199,0.0004959635873178451,0.00015819676384042024,1.0
205,0.0002146405257185633,0.10114052526741792,1.0
215,0.0006380147508852689,0.0001964461789559763,1.0
224,0.0004657897818219895,0.10041472675940268,1.0
236,0.0004375407246812017,0.00017118450047537472,1.0
247,0.0005883205707130158,0.00016154483864787308,1.0
256,0.0005659099329688423,0.00012594113503806126,1.0
266,0.0005148463118671585,0.10036530596218349,1.0
274,0.0003683988013507777,0.1010641998368332,1.0
284,0.00013239722848214195,0.00010787819839293504,1.0
291,0.00040648526515692457,0.00023018241083684447,1.0
301,0.00041169301593824896,0.00018964786295198267,1.0
308,0.0003508474069428611,0.00018667082280245784,1.0
316,0.00032087478313027104,0.10102769899840669,1.0
324,0.0002789500197465013,0.00017640894446139686,1.0
334,0.00036808901025587936,0.10085426126634955,1.0
342,0.00034083923014269034,0.00011565876515409492,1.0
350,0.0004458844623288972,0.00014050642142235536,1.0
356,0.00038020978041424246,0.00027077751456317764,1.0
363,0.00042891060075756133,8.756512537528023e-05,1.0
371,0.00040660721938687734,0.0002664921594938389,1.0
376,0.000494077671636998,0.0001388942017944667,1.0
383,0.0005170178423800886,0.0001691254470918493,1.0
387,0.00030671817112823516,0.0002444556286639095,1.0
397,0.0004292034596411023,0.00013491677550055633,1.0
406,0.00022967543733293943,0.00010748766165847239,1.0
414,0.00038798687723533,0.00019128655544152818,1.0
423,0.0003986793662257829,0.00013422446808994954,1.0
432,0.0005025495193629316,0.10118562948827542,1.0
441,0.00018984012994503164,0.0001559877572539696,1.0
450,0.00020808794151103163,4.053270995529295e-05,1.0
454,0.0005904333780806352,9.47540366332018e-05,1.0
462,0.0004419132830827319,8.675332467509448e-05,1.0
468,0.00033629819860193303,0.00013278701650516091,1.0
477,0.0005032157896900975,0.10133063702628672,1.0
491,0.0004694593757546434,0.10059225058037098,1.0
497,0.00035193882942052547,0.0002485003079110083,1.0
505,0.0003519066349910005,0.00020918709475502363,1.0
512,0.0003558743530159224,0.10071650712660618,1.0
521,0.00017093319871639033,0.10189279995669583,1.0
529,0.00045951820509452005,0.00021909132887779878,1.0
542,0.0004819985642378562,0.00013816928933552388,1.0
548,0.00033789162393280385,0.0001744395210187503,1.0
556,0.00013544122602661873,0.00014817521661461314,1.0
564,0.000351753570855914,0.10116423433779397,1.0
570,0.0003002512612017402,0.0002542056400620178,1.0
579,0.00046643493598331077,0.1004469384930404,1.0
586,0.00037843014488298367,0.10057196779119336,1.0
595,0.00040163341031868775,0.00021023993715910225,1.0
604,0.0005062597218171371,0.00032476885935932157,1.0
613,0.0003947677244786038,0.0001401306484586672,1.0
622,0.0004389988011472257,0.00015629890505452349,1.0
630,0.0007034805932587233,0.00024012785841389658,1.0
638,0.00031522002451623394,0.00013199241220330753,1.0
650,0.00029418707822586525,0.10082607602049239,1.0
656,0.00046627782947213266,0.00011610927992743844,1.0
664,0.0004269801981700617,0.00021034242306832877,1.0
670,0.0005245188856218473,0.10070218146584839,1.0
680,0.0004301030651368514,0.000235962355378169,1.0
688,0.00014448593845585483,9.339109143339205e-05,1.0
694,0.00031987694384593774,0.00015433582993785617,1.0
700,0.00037832223140042996,0.00017943718753227233,1.0
708,0.00039617412643735435,0.00019096332831514698,1.0
715,0.00031352870329574866,0.00012471821478485728,1.0
722,0.0004246659565464963,0.0001421384808566663,1.0
729,0.00032945933112069964,0.00016611154590216718,1.0
735,0.0006384999912874405,8.04604588370206e-05,1.0
742,0.0004500162959205791,0.00020682888931467569,1.0
748,0.0005851382379828872,0.00013889721483046624,1.0
758,0.0005575801892131355,0.00030280130701343383,1.0
766,0.00036376782079833514,0.00024474639924931536,1.0
773,0.00032329413111848587,0.00030009301892680216,1.0
780,0.00017143569712320235,0.10172189024371249,1.0
787,0.0002561190513118044,0.10181633954851399,1.0
796,0.0005568892418279322,0.10076285977879869,1.0
803,0.000434098487473551,9.51524177917556e-05,1.0
810,0.0003036752014706448,0.00016455293495584332,1.0
818,0.0005442730932829476,0.00018419367915000208,1.0
826,0.00033051790412252116,0.00012342828294805908,1.0
835,0.0004586680298435741,8.644025905528664e-05,1.0
842,0.00043935083112179256,0.00011910373361126855,1.0
847,0.00036653986351338,0.1009620452632349,1.0
855,0.0003784639950969381,0.00014456395198367603,1.0
863,0.0004931912297092339,0.00016162687379135102,1.0
869,0.0002476967112090378,0.00017891833529645886,1.0
875,0.0003903551413186879,0.1004114128748465,1.0
880,0.0004345343124009523,0.1011947577356241,1.0
888,0.0003372945339062823,0.10058486625602316,1.0
895,0.0004766362719877369,0.10056162488795789,1.0
901,0.0005173418776598442,0.00017537645908431495,1.0
909,0.0004796819078315534,0.00014935983184859267,1.0
916,0.0004780270505421476,9.27978417577077e-05,1.0
926,0.00048359136032934407,0.00026800053193606004,1.0
929,0.0004123218261666191,0.00012894733518361513,1.0
937,0.0005842145175277062,0.00027005803469314256,1.0
949,0.0003950297925207529,0.00021170990997004802,1.0
959,0.0003554727892828653,0.1011488808584543,1.0
966,0.00031114192107352997,0.10103459392212438,1.0
978,0.0003748723585715787,0.10054083640217028,1.0
984,0.0003780735379449078,8.087085126861017e-05,1.0
992,0.0003022263286265508,0.00019820892107911062,1.0
1001,0.000519298484781795,0.00022309836644468395,1.0
1010,0.0003887955607001622,0.00024150096651158427,1.0
